title,city,sector,url,linkedBlueprint,,,,saksalaisten
PV-Belegung aller kommunalen Dachflächen,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/strom/pv-belegung-aller-kommunalen-dachflachen,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
Kohleausstieg 2023,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/strom/kohleausstieg-2023,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Ökostrom für alle kommunalen Liegenschaften,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/strom/okostrom-fur-alle-kommunalen-liegenschaften,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Ausbau Stromnetz für Stahlwerk,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/strom/ausbau-stromnetz-fur-stahlwerk,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
Kommunale Wärmeplanung,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/warme/kommunale-warmeplanung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Wärmeleitungsausbau,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/warme/warmeleitungsausbau,PV-Belegung aller kommuneneigenen Dachflächen,,,,
"Föderprogramm ""Heizungstausch""",Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/warme/forderprogramm-heizungstausch,PV-Belegung aller kommuneneigenen Dachflächen,,,,Kommunales Förderprogramm für energetische Sanierung und erneuerbare Heizungen
Fördermaßnahmen & Beratung - Wärmepumpen,Bremen,Strom,No link,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratungsangebote für Private und Unternehmen
Novelle des Klimaschutzgesetzes,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/novelle-des-klimaschutzgesetzes,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Integration der Empfehlungen der Enquetekommission,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/integration-der-empfehlungen-der-enquetekommission,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Datenverbesserung,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/datenverbesserung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Fördermittelmanagement in der Kommune
Datenverbesserung Verkehr/Mobilität,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/datenverbesserung-verkehrmobilitat,PV-Belegung aller kommuneneigenen Dachflächen,,,,Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung
Parlamentarischer Ausschuss ,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/parlamentarischer-ausschuss,PV-Belegung aller kommuneneigenen Dachflächen,,,,abteilungsübergreifende Lenkungsgruppe für kommunale Kimaneutralität
Personalressourcenplanung,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/personalressourcenplanung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ausbildung und Einsatz von internen Klimaschutzmanager:innen
Klima-Sachverständigenrat,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/klima-sachverstandigenrat,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Webseite,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/webseite,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Klimainvestitionen,Bremen,Strom,https://monitoring.localzero.net/bremen/massnahmen/kurzfristige-manahmen-klimacontrolling/klimainvestitionen,PV-Belegung aller kommuneneigenen Dachflächen,,,,
LED-Umrüstung Straßenbeleuchtung,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,No suitable Measurement
Betriebsoptimierung Straßenbeleuchtung,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,No suitable Measurement
Mitarbeitersensibilisierung,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Gibt es ein personell gut augestattetes Klimaschutzmanagement?
Dauerhafte Fortbildungsangebote schaffen,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Gibt es ein personell gut augestattetes Klimaschutzmanagement?
Carsharing,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Umstellung kommunaler Fuhrpark und Angebote für Mitarbeiter
Radverkehr,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ausbau Radverkehr
Innenstadt autofrei,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Reduktion der MIV Flächen (flächendeckendes Parkraummanagement)
Haltestellen Stadtbus,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ausbau und Attraktivierung des ÖPNV-Angebotes
Planung zu Masterplan Mobilität & Verkehr,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung
Lärm- und Umweltsensorennetz entlang Bahnstrecke,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Einführung von Geschwindigkeitsbegrenzungen
Gesamtverkehrskonzept Rechberggelände,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung
Verpackungssteuer,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Richtlinien für allgemeines nachhaltiges Beschaffungswesen
Repair-Cafe,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Einrichtung von Materiallagern und Bauteilkatalogen für gebrauchte Bauteile
PV Vortrag,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Beratungsangebote für Private und Unternehmen: PV-Ausbau Beratung, Energieberatung"
PV Förderung städtisch,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Förderprogramme für PV-Anlagen (private Haushalte, Mini-PV, Mieter, kleine Unternehmen)"
PV Mehrfamilienhaus,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Pflicht bei Neubauten
PV Vortrag,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Beratungsangebote für Private und Unternehmen: PV-Ausbau Beratung, Energieberatung"
PV Förderung städtisch,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Förderprogramme für PV-Anlagen (private Haushalte, Mini-PV, Mieter, kleine Unternehmen)"
Freiflächenanlage städtisch,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
PV Öffentlichkeitsarbeit,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Start wirksamer Kampagnen: z.B. Fachkräftekampagne für Ausbau EE
Windenergie,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
Wärmepumpe,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratung zu Gebäudesanierung und Heizungstausch
Wärmenetz,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratung und Motivation zur Verdichtung und Erweiterung von Wärmenetzen
Wärmeplanung,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Effizienzsteigerung,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Umsetzung von Effizienzmaßnahmen in Nahwärmenetzen (Temperaturreduzierung, hydraulische Optimierung)"
Energetische Sanierung,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Umfassende energetische Gebäudesanierung der kommunalen Liegenschaften und Wohnungsbaugesellschaften
Einstellung Klimaschutzmanager,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Gibt es ein personell gut ausgestattetes Klimaschutzmanagement?
Erstellung Klimaaktionsplan durch Planungsbüro,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ist ein ambitionierter Klimaschutzplan vorhanden?
Weichen stellen für klimaneutrale Wärmeversorgung Würzburg,Bremen,Strom,monitoring.localzero.net/wurzburg/massnahmen?active=energieversorgung%2Fweichen-stellen-fur-klimaneutrale-warmeversorgung-wurzburg%2Fzentrale-warmversorgung-klimaneutrale-fernwarme-wurzburg#energieversorgung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Solare Stromerzeugung rapide Ausbauen Würzburg,Bremen,Strom,Error Shown ,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Ausba und integration erneurbarer Energien ins energiesystem Würzburg,Bremen,Strom,Error Shown ,PV-Belegung aller kommuneneigenen Dachflächen,,,,Unterstützung/Aufbau von oder Zusammenarbeit mit Energiegenossenschaften
"Deine, Meine, unsere Bürgerenergie Würzburg",Bremen,Strom,Error Shown ,PV-Belegung aller kommuneneigenen Dachflächen,,,,Unterstützung/Aufbau von oder Zusammenarbeit mit Energiegenossenschaften
Ausbau der Nah- und Fernwärmeversorgung,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze durch Erschließung erneuerbarer Wärmequellen
 Sozial gerechter Klimaschutz,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/1klimaneutralitat-bis-2035-erreichen/11-sozial-gerechter-klimaschutz,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Erweiterung d. Freiraumsatzung,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/1klimaneutralitat-bis-2035-erreichen/12-erweiterung-d-freiraumsatzung,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Klimaanpassungsstrategie,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/1klimaneutralitat-bis-2035-erreichen/13-klimaanpassungsstrategie,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Strukturiertes Monitoring,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/2-ubergreifende-klimaverantwortung-starken/21-strukturiertes-monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ist ein ambitionierter Klimaschutzplan vorhanden? (Restbudget / Zieljahr / jährliche Kostenaufstellung / Verantwortlichkeiten benannt)
Klimabeauftragte i. d. Verwaltung,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/2-ubergreifende-klimaverantwortung-starken/22-klimabeauftragte-i-d-verwaltung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Gibt es ein personell gut augestattetes Klimaschutzmanagement?
Klima-Check b. Beschlüssen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/2-ubergreifende-klimaverantwortung-starken/23-klima-check-b-beschlussen,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Beschluss, Rücklagen und andere verfügbare Mittel Geldern aus klimaschädlichen Geldanlagen abzuziehen (Divestment)"
Klimaneutrale Stadtverwaltung,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/2-ubergreifende-klimaverantwortung-starken/24-klimaneutrale-stadtverwaltung,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Interkommunale Zusammenarbeit,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/2-ubergreifende-klimaverantwortung-starken/25-interkommunale-zusammenarbeit,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Aufbau Klimaschutzkooperationen mit der Wirtschaft bzw. Industrieunternehmen *Von der Kommune (Wirtschaftsförderung o.ä.) koordiniert und moderiert *Selbstverpflichtungen der Unternehmen für Emissionsreduktion einholen *Wissensaustausch zu Strategien, Methoden oder Tools zur Emissionsreduktion"
"Vernetzung Land, und Bund",Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/2-ubergreifende-klimaverantwortung-starken/26-vernetzung-land-und-bund,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Klimaschutzbürger*innen 2.0,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/3-burgerinnenrate-burgerinnenbeteiligung/31-klimaschutzburgerinnen-20,PV-Belegung aller kommuneneigenen Dachflächen,,,,Gibt es strukturierte Möglichkeiten der Mitbestimmung der Zivilgesellschaft z.B. als Klimarat oder kontinuierlicher Bürgerbeteiligung etc.?
Vernetzung Bürgerinitiativen (JF),Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/3-burgerinnenrate-burgerinnenbeteiligung/32-vernetzung-burgerinitiativen-jf,PV-Belegung aller kommuneneigenen Dachflächen,,,,Gibt es strukturierte Möglichkeiten der Mitbestimmung der Zivilgesellschaft z.B. als Klimarat oder kontinuierlicher Bürgerbeteiligung etc.?
Zusammenarbeit mit der Volkshochschule,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/3-burgerinnenrate-burgerinnenbeteiligung/33-erwachsenenbildung/331-zusammenarbeit-mit-der-volkshochschule,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Zusammenarbeit mit Hochschule RheinMain,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/3-burgerinnenrate-burgerinnenbeteiligung/33-erwachsenenbildung/332-zusammenarbeit-mit-hochschule-rheinmain,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Klimarat,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/3-burgerinnenrate-burgerinnenbeteiligung/34-klimarat,PV-Belegung aller kommuneneigenen Dachflächen,,,,Gibt es strukturierte Möglichkeiten der Mitbestimmung der Zivilgesellschaft z.B. als Klimarat oder kontinuierlicher Bürgerbeteiligung etc.?
Begrünungsberatung privat,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/3-burgerinnenrate-burgerinnenbeteiligung/35-begrunungsberatung-privat,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Weiterbildung v. LehrerInnen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/4-klimaschutzmodelle-an-schulen-u-kitas/41-umweltpadagoginnen/411-weiterbildung-v-lehrerinnen,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Weiterbildung v. ErziehrInnen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/4-klimaschutzmodelle-an-schulen-u-kitas/41-umweltpadagoginnen/412-weiterbildung-v-erziehrinnen,PV-Belegung aller kommuneneigenen Dachflächen,,,,
KlimaKita,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/4-klimaschutzmodelle-an-schulen-u-kitas/42-klimakita,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Umweltschulen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/4-klimaschutzmodelle-an-schulen-u-kitas/43-umweltschulen,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Zero Waste Kampagne,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/5-suffizienz-angebot-schaffen/51-abfallvermeidung/511-zero-waste-kampagne,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Mehrwegsysteme,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/5-suffizienz-angebot-schaffen/51-abfallvermeidung/512-mehrwegsysteme,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Stärkere Kontrolle,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/5-suffizienz-angebot-schaffen/51-abfallvermeidung/513-starkere-kontrolle,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Wohnflächensuffizienz,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/ubergreifende-massnahmen/5-suffizienz-angebot-schaffen/51-abfallvermeidung/52-wohnflachensuffizienz,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Flächenschonende Stadtentwicklung: Flächennutzungsplanung und Bauleitplanung nutzen, um Versiegelung zu vermeiden/verhindern. Dazu gehört u.a.: *Verdichtung vor Außenentwicklung, *keine Ausweisung von zu versiegelnder Fläche und Beginn Entsiegelung *Stop/Reduktion von kommunalem Straßenneubau"
Onboarding und Vorbereitung Workshop-Team,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/6-aufsuchende-energie-und-sanierungsberatung/61-balkon-pv-workshops-realisieren/611-onboarding-und-vorbereitung-workshop-team,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Förderung Wohngebäude,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/6-aufsuchende-energie-und-sanierungsberatung/61-balkon-pv-workshops-realisieren/62-forderung-wohngebaude,PV-Belegung aller kommuneneigenen Dachflächen,,,,Kommunales Förderprogramm für energetische Sanierung und erneuerbare Heizungen
Externe Neubauten,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/7-klimaneutralitat-in-bebauungsplanen/71-externe-neubauten,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ambitionierte Leitlinien für Neubauten und Sanierung bei kommunalen Bau- bzw. Sanierungsprojekten: z.B.: Nullenergiehäuser im Neubau und erhöhter Effizienzhaus-Standard bei Sanierungen
Potenzialanalyse PV,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/8-neubau-u-sanierungen-klimaneutral-realisieren/81-potenzialanalyse-pv,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Bündelung von Maßnahmen zu PV,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/8-neubau-u-sanierungen-klimaneutral-realisieren/82-bundelung-von-manahmen-zu-pv,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Förderprogramme für PV-Anlagen. Hier darf folgende Förderung nicht fehlen: *private Haushalte, Fokus: Förderung nicht-wirtschaftlicher Anlagen(-teile) *Mini-PV Anlagen * Mieter:innen-Strom Projekte *Förderprogramme für (kleine) Unternehmen"
Nachhaltiger Neubau,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/8-neubau-u-sanierungen-klimaneutral-realisieren/83-nachhaltiger-neubau,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ambitionierte Leitlinien für Neubauten und Sanierung bei kommunalen Bau- bzw. Sanierungsprojekten: z.B.: Nullenergiehäuser im Neubau und erhöhter Effizienzhaus-Standard bei Sanierungen
Klimaneutrale Sanierungen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/8-neubau-u-sanierungen-klimaneutral-realisieren/84-klimaneutrale-sanierungen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Umfassende energetische Gebäudesanierung der kommunalen Liegenschaften und kommunalen Wohhnungsbaugesellschaften *Hüllfllächensanierung inkl. Heizungsaustausch. *Erstellung eines Sanierungsplans.
Netzwerkbildung Handwerkerportal,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/8-neubau-u-sanierungen-klimaneutral-realisieren/85-netzwerkbildung-handwerkerportal,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Übergreifende Wärmeplanung für alle Stadtteile,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/energie-und-gebaude/9-ubergreifende-warmeplanung-fur-alle-stadtteile,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Erarbeitung Biodiversitätsstrategie,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/stadtgrun/10-biotopvernetzungskonzept-v-1993-fortschreiben/101-erarbeitung-biodiversitatsstrategie,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Begrünungspotenziale nutzen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/stadtgrun/11-entsiegelung-und-regenwasser-management/111-entsiegelungskonzept/1111-begrunungspotenziale-nutzen,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Entsiegelung/ Umgestaltung relev. Flächen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/stadtgrun/11-entsiegelung-und-regenwasser-management/111-entsiegelungskonzept/1112-entsiegelung-umgestaltung-relev-flachen,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Flächenschonende Stadtentwicklung: Flächennutzungsplanung und Bauleitplanung nutzen, um Versiegelung zu vermeiden/verhindern. Dazu gehört u.a.: *Verdichtung vor Außenentwicklung, *keine Ausweisung von zu versiegelnder Fläche und Beginn Entsiegelung *Stop/Reduktion von kommunalem Straßenneubau"
Straßenraum- und Entwicklungskonzept,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/stadtgrun/11-entsiegelung-und-regenwasser-management/111-entsiegelungskonzept/1113-straenraum-und-entwicklungskonzept,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Regenwassernutzungskonzept,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/stadtgrun/11-entsiegelung-und-regenwasser-management/111-entsiegelungskonzept/1114-regenwassernutzungskonzept,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Überarbeitung d.Baumschutzsatzung,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/stadtgrun/12-baume-klimaresilient-nachpflanzen/121-uberarbeitung-dbaumschutzsatzung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Baumschutzkonzept entwickeln
Begrünungspotenziale nutzen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/stadtgrun/13-begrunungspotenziale-nutzen,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Verlagerung auf den Umweltverbund vorantreiben,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/mobilitat/14-verlagerung-auf-den-umweltverbund-vorantreiben,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Mehr Stellen f. Mobilitätsbeauftragte schaffen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/mobilitat/15-mehr-stellen-f-mobilitatsbeauftragte-schaffen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Unterstützung und Begleitung des betrieblichen Mobilitätsmanagement
Öffentlichen Personennahverkehr verbessern,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/mobilitat/16-offentlichen-personennahverkehr-verbessern,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ausbau und Attraktivierung des ÖPNV-Angebotes
Parkraum-Management ausdehnen,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/mobilitat/17-parkraum-management-ausdehnen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Reduktion der MIV Flächen: * flächendeckendes Parkraummanagement * weniger Straßenraum für MIV
Fuẞverkehr fördern,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/mobilitat/18-fuverkehr-fordern,PV-Belegung aller kommuneneigenen Dachflächen,,,,Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung
Radverkehr fördern,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/mobilitat/19-radverkehr-fordern,PV-Belegung aller kommuneneigenen Dachflächen,,,,Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung
Lichtverschmutzung,Bremen,Strom,https://monitoring.localzero.net/russelsheim/massnahmen/mobilitat/lichtverschmutzung,PV-Belegung aller kommuneneigenen Dachflächen,,,,
